id,title,date,source_raw,source_normalized,priority,featured,status,created_at,updated_at,author,in_last_30d,in_last_90d,days_since_today,tier_noticias,tier_archivo_today,on_homepage_today,ever_top6_current_formula,days_in_top6_current_formula,first_top6_date_current_formula,days_publish_to_first_top6_current_formula,tiebreak_decided_days,tiebreak_pushed_out_days,hard_figure_disclosed_detected,chart_worthy_data_detected,names_entity_detected,entities_detected,axis_a_proximity,axis_a_method,axis_a_why,axis_b_magnitude,axis_b_method,axis_b_why,exclusive_first_report,exclusive_first_report_method,exclusive_first_report_why,continues_existing_thread,continues_existing_thread_method,continues_existing_thread_why,affects_multiple_markets,affects_multiple_markets_method,affects_multiple_markets_why,proprietary_analysis,proprietary_analysis_method,proprietary_analysis_why,unconfirmed_rumor,unconfirmed_rumor_method,unconfirmed_rumor_why,points_base,points_modifier,points_total,decade,ever_top6_counterfactual,days_in_top6_counterfactual,newly_surfaced_under_counterfactual
canva-firma-con-el-como-1907-su-primer-patrocinio-de-futbol,Canva firma con el Como 1907 su primer patrocinio de fútbol,2026-08-13,industry-shots,noticias,3,False,published,2026-08-14 04:18:14.196741+00,2026-08-14 04:18:14.196741+00,,True,True,5,sm,3,False,False,0,,,0,0,False,True,False,,intl_no_latam,judged,"Story about an Australian company sponsoring an Italian club, no LATAM link.",commercial_no_figures,judged,Announces a sponsorship deal without disclosing a dollar figure.,False,judged,No exclusivity claim in the text.,False,judged,No reference to a prior Playbook story.,False,judged,Confined to Canva's deal with a single Italian club.,False,judged,"Reports the club's own announcement, not original Playbook analysis.",False,judged,"Reports a confirmed named partnership, not speculation.",20,5,25,2,False,0,False
por-que-mark-walter-vendio-los-lakers-diez-meses-despues-de-comprarlos,Por qué Mark Walter vendió los Lakers diez meses después de comprarlos,2026-08-13,noticias,noticias,5,True,published,2026-08-15 16:44:52.265833+00,2026-08-15 16:44:52.265833+00,,True,True,5,lg,5,False,True,4,2026-08-13,0,0,0,True,True,True,Cadillac F1;Chelsea;Dodgers;Fórmula 1;Lakers;MLB;NBA;Sparks,intl_no_latam,judged,"Story about a US franchise sale and an FBI investigation into a US financier, no LATAM link.",update_context,judged,"Adds investigative context (FBI probe, accounting correction) to the already-reported Lakers sale, without a new sale or transaction of its own.",False,judged,"Attributes the reporting to the Financial Times, not to Playbook.",True,judged,Explicitly recaps and continues the previously reported Lakers sale story (Walter's purchase and sale timeline).,False,judged,Confined to the US Lakers sale and related US investigation.,False,judged,"Reports the Financial Times' findings, not an original Playbook analysis.",False,judged,"Reports the FT's sourced account of an FBI action as fact, though notes no charges have been filed.",10,18,28,2,True,1,False
liga-f-no-encuentra-comprador-para-sus-derechos-de-tv-y-abre-una-segunda-ronda-de-puja,Liga F no encuentra comprador para sus derechos de TV y abre una segunda ronda de puja,2026-08-13,industry-shots,noticias,4,False,published,2026-08-18 12:01:32.753334+00,2026-08-18 12:01:32.753334+00,,True,True,5,md,4,False,True,1,2026-08-13,0,0,0,True,False,True,América;Barcelona,intl_no_latam,judged,"Story about the Spanish women's football league's TV rights auction, no LATAM link.",update_context,judged,"A failed first bidding round leading to a reopened auction is a development in an ongoing rights-sale process, not a completed transaction.",False,judged,"Attributes the reporting to Sportcal, not to Playbook.",True,judged,"Explicitly references the failed first round of bidding and the DAZN precedent, continuing the ongoing TV-rights saga.",False,judged,Confined to Spain's domestic women's league TV rights market.,False,judged,"Reports Sportcal's reporting and the league's stated minimum prices, not an original Playbook estimate.",False,judged,"Reports a confirmed reopened bidding process, not speculation.",10,13,23,2,False,0,False
el-titulo-de-los-knicks-le-deja-a-msg-sports-un-salto-de-us-67-millones-justo-antes-de-dividirse-en-dos-empresas,El título de los Knicks le deja a MSG Sports un salto de US$67 millones justo antes de dividirse en dos empresas,2026-08-13,industry-shots,noticias,4,False,published,2026-08-18 12:05:57.391555+00,2026-08-18 12:05:57.391555+00,,True,True,5,md,4,False,True,1,2026-08-13,0,0,0,True,False,True,Knicks;Lakers;NBA;NHL,intl_no_latam,judged,"Story is about MSG Sports/NBA Knicks finances in the US, no Mexico/LATAM angle mentioned.",update_context,judged,"Quarterly earnings figures add context ahead of the already-planned corporate split, not a new deal or structural event itself.",False,judged,No claim of exclusivity or first-to-report in the text.,False,judged,No explicit reference to a prior Playbook story.,False,judged,Single company/market (MSG Sports in the US) is affected.,False,judged,"Explains the earnings mechanism from the official report, not an original Playbook estimate or framework.",False,judged,"Based on MSG Sports' official quarterly results, not speculation.",10,10,20,2,False,0,False
kushner-e-iger-compran-los-lakers-en-us-12-500-millones,"Kushner e Iger compran los Lakers en US$12,500 millones",2026-08-12,industry-shots,noticias,5,True,published,2026-08-12 16:50:32.809564+00,2026-08-12 16:50:32.809564+00,,True,True,6,lg,5,False,True,5,2026-08-12,0,3,0,True,True,True,Celtics;Chelsea;Commanders;Dodgers;Heat;Kings;Lakers;NBA;NFL;NHL;Sparks;Suns,intl_no_latam,judged,"Story about the sale of an NBA franchise in the US, no LATAM link.",structural,judged,"Describes a franchise sale/ownership change (club sale category), with a pending NBA board vote.",False,judged,"Attributes the scoop to ESPN, not Playbook, explicitly ('según ESPN, que adelantó el acuerdo').",False,judged,No explicit reference to a prior Playbook story.,False,judged,"Sale is confined to a single US franchise, though buyer/seller hold other assets.",False,judged,"Reports facts and figures from ESPN, no original Playbook analysis presented.",False,judged,"Describes an agreed deal pending approval, not framed as rumor or speculation.",45,15,60,6,True,5,False
fox-frena-la-prisa-de-la-nfl-por-renegociar-us-111-000-millones,"Fox frena la prisa de la NFL por renegociar US$111,000 millones",2026-08-12,industry-shots,noticias,4,False,published,2026-08-13 02:07:04.091812+00,2026-08-13 02:07:04.091812+00,,True,True,6,md,4,False,True,1,2026-08-12,0,1,0,True,True,True,49ers;NFL,intl_no_latam,judged,"Story about Fox and the NFL's US broadcast contract, no LATAM link.",update_context,judged,"Fox's refusal to renegotiate early is a development in an ongoing negotiation saga, not a new deal or structural event.",False,judged,No exclusivity claim in the text.,False,judged,"No explicit reference to a prior Playbook story, though it follows a known negotiation narrative.",False,judged,Confined to the US broadcast rights market.,False,judged,"Cites Murdoch's earnings call comments and CNBC reporting, not an original Playbook estimate.",False,judged,"Based on Murdoch's on-record statement to investors, not speculation.",10,15,25,2,False,0,False
laliga-es-la-primera-liga-de-futbol-del-mundo-en-usar-el-balon-conectado-en-todos-sus-partidos,LaLiga es la primera liga de futbol del mundo en usar el balón conectado en todos sus partidos,2026-08-12,industry-shots,noticias,4,False,published,2026-08-13 04:47:53.75042+00,2026-08-13 04:47:53.75042+00,,True,True,6,md,4,False,False,0,,,1,1,False,False,True,Adidas;LaLiga;Premier League,intl_no_latam,judged,"Story about LaLiga's technology rollout in Spain, no LATAM/Mexico link mentioned.",commercial_no_figures,judged,Announces a technology partnership/rollout with PUMA and KINEXON without disclosing a dollar figure.,False,judged,No exclusivity claim in the text.,False,judged,No reference to a prior Playbook story.,False,judged,Confined to Spain's domestic league.,False,judged,"Describes the ball's technical specifications factually, not an original Playbook analysis.",False,judged,Reports a confirmed rollout that already began ('arrancó la temporada').,20,4,24,2,False,0,False
cinco-clubes-de-la-liga-de-expansion-vuelven-al-tas-contra-la-eliminacion-del-ascenso-y-descenso,Cinco clubes de la Liga de Expansión vuelven al TAS contra la eliminación del ascenso y descenso,2026-08-12,industry-shots,noticias,5,False,published,2026-08-13 04:51:46.471437+00,2026-08-13 04:51:46.471437+00,,True,True,6,lg,5,False,True,5,2026-08-12,0,3,0,False,True,True,Atlético,mexico,judged,Story is specifically about Mexican clubs and the FMF's promotion/relegation decision.,update_context,judged,A new appeal in an ongoing dispute over an FMF decision already made; no new structural change has occurred in this piece.,False,judged,No exclusivity claim in the text.,True,judged,"Explicitly references the TAS's prior ruling on a similar appeal a year earlier, continuing the ongoing ascenso/descenso saga.",False,judged,Involves multiple clubs but all within the single Mexican league system.,False,judged,"Reports the clubs' own communique, not an original Playbook analysis.",False,judged,"Reports a confirmed filed appeal, not speculation.",45,12,57,5,True,2,False
mexico-va-por-el-boleto-a-los-juegos-olimpicos-y-el-oro-en-el-mundial-de-flag-football,México va por el boleto a los Juegos Olímpicos y el oro en el Mundial de Flag Football,2026-08-12,industry-shots,noticias,5,False,published,2026-08-13 05:02:10.092759+00,2026-08-13 05:02:10.092759+00,,True,True,6,lg,5,False,True,2,2026-08-12,0,3,3,True,False,True,NFL,mexico,judged,"Story centers on Mexico's national teams competing for Olympic qualification, even though the event is held in Germany.",update_context,judged,"Covers the start of an ongoing competition/qualification chase; the NFL's $32M investment is background context, not the core transactional event of this piece.",False,judged,No exclusivity claim in the text.,False,judged,No explicit reference to a prior Playbook story.,False,judged,Focused on Mexico's teams; the NFL investment is mentioned but not framed as affecting multiple markets simultaneously.,False,judged,"Reports competition context and quotes, not an original Playbook estimate.",False,judged,"Describes a tournament that has begun, stated as fact.",45,10,55,5,True,2,False
the-team-abre-su-primera-oficina-en-ciudad-de-mexico,The Team abre su primera oficina en Ciudad de México,2026-08-12,industry-shots,noticias,3,False,published,2026-08-14 04:18:13.08563+00,2026-08-14 04:18:13.08563+00,,True,True,6,sm,3,False,False,0,,,0,0,False,False,True,América,mexico,judged,The concrete news event is the opening of a physical office in Mexico City.,commercial_no_figures,judged,"Reports an office opening and client growth targets, with no dollar figures disclosed.",False,judged,No exclusivity claim in the text.,False,judged,No explicit reference to a prior Playbook story.,True,judged,"The office's stated growth goal is expanding clients across 'América Latina', not just Mexico.",False,judged,"Reports the agency's own stated goals, not an original Playbook estimate.",False,judged,Reports a confirmed office opening as fact.,55,9,64,6,True,5,True
cinco-carreras-en-lugar-de-nueve-el-trimestre-que-encogio-a-f1,Cinco carreras en lugar de nueve: el trimestre que encogió a F1,2026-08-11,industry-shots,noticias,4,False,published,2026-08-11 07:20:25.379521+00,2026-08-11 07:30:55.690169+00,,True,True,7,md,4,False,True,1,2026-08-11,0,1,0,True,True,False,,intl_no_latam,judged,"Liberty Media/Formula One Group quarterly earnings, no LATAM mention.",update_context,judged,"Quarterly financial results update on a known ongoing business, not a new deal or structural change.",False,judged,No exclusivity claim.,False,judged,No explicit reference to a prior Playbook story.,False,judged,"Single company's global earnings report, not framed around distinct markets.",False,judged,Figures are attributed directly to Liberty Media's earnings report.,False,judged,Earnings figures are stated as reported fact.,10,11,21,2,False,0,False
el-mundial-llevo-la-publicidad-de-fox-a-us-1-916-millones-en-un-trimestre,"El Mundial llevó la publicidad de Fox a US$1,916 millones en un trimestre",2026-08-11,industry-shots,noticias,4,False,published,2026-08-11 07:20:25.70243+00,2026-08-11 07:37:26.264288+00,,True,True,7,md,4,False,False,0,,,1,1,True,False,True,FIFA,intl_latam_effect,judged,"Fox Corporation earnings story explicitly credits the World Cup co-hosted by Mexico, US, and Canada.",update_context,judged,"Quarterly/fiscal-year earnings report attributing results to an already-known event (the World Cup), not a new deal.",False,judged,No exclusivity claim.,False,judged,No explicit reference to a prior Playbook story.,True,judged,"Explicitly names Mexico, US, and Canada as World Cup co-hosts driving the results.",False,judged,Figures are attributed to Fox Corporation's earnings report.,False,judged,Earnings figures are presented as reported fact.,25,15,40,4,False,0,False
polymarket-sera-el-mercado-de-predicciones-oficial-del-atp-tour,Polymarket será el mercado de predicciones oficial del ATP Tour,2026-08-11,industry-shots,noticias,3,False,published,2026-08-11 07:20:25.812644+00,2026-08-11 07:20:25.812644+00,,True,True,7,sm,3,False,False,0,,,0,0,False,True,True,Yankees,intl_no_latam,judged,"Polymarket/ATP Tour deal focused on US-registered users, no LATAM mention.",commercial_no_figures,judged,Text explicitly states 'Los términos económicos no se revelaron' for this streaming rights partnership.,False,judged,No exclusivity claim.,False,judged,No explicit reference to a prior Playbook story.,False,judged,Exclusive streaming rights apply specifically to users registered in the US.,False,judged,Reports the deal terms and scope as announced.,False,judged,"Deal is presented as confirmed, not speculative.",20,9,29,2,False,0,False
arrowhead-recupera-su-nombre-y-g-e-h-a-se-sale-cinco-anos-antes,Arrowhead recupera su nombre y G.E.H.A. se sale cinco años antes,2026-08-11,industry-shots,noticias,2,False,published,2026-08-11 07:20:25.905051+00,2026-08-11 07:20:25.905051+00,,True,True,7,sm,2,False,False,0,,,0,0,True,True,True,Chiefs,intl_no_latam,judged,"Kansas City Chiefs stadium naming story confined to the US, no LATAM link.",commercial_no_figures,judged,Ends a naming-rights sponsorship early with no financial terms or buyout figure disclosed.,False,judged,No exclusivity claim.,False,judged,No explicit reference to a prior Playbook story.,False,judged,"Single stadium, single market (US) naming rights change.",False,judged,Reports the joint announcement and quotes the club president directly.,False,judged,"Presented as a confirmed, mutual decision.",20,15,35,3,False,0,False
disney-transmitira-la-formula-e-en-144-territorios-desde-diciembre,Disney+ transmitirá la Fórmula E en 144 territorios desde diciembre,2026-08-11,industry-shots,noticias,4,False,published,2026-08-11 21:01:52.733337+00,2026-08-11 21:01:52.733337+00,,True,True,7,md,4,False,False,0,,,1,1,False,True,True,NBA;UEFA,intl_no_latam,judged,Disney+/Formula E global streaming deal with no specific LATAM/Mexico mention.,commercial_no_figures,judged,Text explicitly states financial terms were not disclosed for this multi-year streaming agreement.,False,judged,No exclusivity claim.,False,judged,No explicit reference to a prior Playbook story.,True,judged,Explicitly covers 144 territories for the streaming agreement.,False,judged,"Reports the deal and prior distribution setup, citing Reuters.",False,judged,Deal is presented as confirmed and finalized.,20,14,34,3,False,0,False
trump-defiende-a-infantino-y-parte-en-dos-la-postura-de-estados-unidos,Trump defiende a Infantino y parte en dos la postura de Estados Unidos,2026-08-11,industry-shots,noticias,5,False,published,2026-08-11 21:01:52.860651+00,2026-08-11 21:31:13.808945+00,,True,True,7,lg,5,False,True,2,2026-08-11,0,0,0,False,True,True,Concacaf;FIFA,intl_latam_effect,judged,US/FIFA story but explicitly names Caribbean and Central American football unions co-signing the governance complaint alongside US Soccer.,update_context,judged,"Trump's statement and the joint communique add a new wrinkle to the ongoing FIFA governance dispute ahead of the March 2027 election, but no vote or rule change has actually occurred.",False,judged,No exclusivity or first-to-report claim is made in the text.,False,judged,"No explicit reference to a prior Playbook story, though it sits within an ongoing governance saga.",True,judged,"Explicitly involves US, Canada, and Caribbean/Central American federations jointly.",True,judged,"The framing that Trump's argument is 'not institutional, but about profitability' is Playbook's own interpretive framing of his statement.",False,judged,"Reports Trump's actual Truth Social post and the federations' signed communique as fact, not speculation.",25,20,45,4,True,1,False
apollo-pone-us-2-600-millones-en-los-yankees-y-se-queda-con-un-asiento-en-el-consejo,"Apollo pone US$2,600 millones en los Yankees y se queda con un asiento en el consejo",2026-08-11,industry-shots,noticias,4,False,published,2026-08-11 21:01:52.910412+00,2026-08-11 21:01:52.910412+00,,True,True,7,md,4,False,False,0,,,1,1,True,True,True,Atlético;MLB;MLS;Milan;Yankees,intl_no_latam,judged,Story is about a US private equity firm investing in the New York Yankees with no LATAM angle mentioned.,transaction_figures,judged,"Discloses a US$2,600 million investment figure from Apollo into Yankee Global Enterprises.",False,judged,No claim of exclusivity or first report in the text.,False,judged,No reference to a prior Playbook story or ongoing thread.,False,judged,Single-market (US) transaction involving one club's ownership structure.,False,judged,"Explains MLB's 15% ownership cap as context, not an original Playbook estimate or framework.",False,judged,"Reports the deal as a confirmed transaction, not a rumor.",35,15,50,5,True,1,True
nhl-y-cme-la-estadistica-oficial-se-vuelve-un-activo-financiero,NHL y CME: la estadística oficial se vuelve un activo financiero,2026-08-11,industry-shots,noticias,3,False,published,2026-08-11 22:11:28.348334+00,2026-08-11 22:11:28.348334+00,,True,True,7,sm,3,False,False,0,,,0,0,True,True,True,NHL,intl_no_latam,judged,"Story about CME and the NHL launching futures contracts, with no LATAM/Mexico link mentioned.",commercial_no_figures,judged,"Announces a new product launch; the dollar figures given ($10/point) describe contract mechanics, not a disclosed deal value.",False,judged,No claim of exclusivity or first report.,False,judged,No reference to a prior Playbook story.,False,judged,Confined to the US-based CME/NHL market.,False,judged,"Describes CME's own product mechanics, not Playbook's original analysis.",False,judged,"Reports an announced launch, pending regulatory review, not framed as rumor.",20,15,35,3,False,0,False
daniel-levy-deja-pasar-la-ampliacion-y-se-diluye-en-el-tottenham,Daniel Levy deja pasar la ampliación y se diluye en el Tottenham,2026-08-11,industry-shots,noticias,4,False,published,2026-08-11 22:11:28.462844+00,2026-08-11 22:11:28.462844+00,,True,True,7,md,4,False,False,0,,,1,1,True,True,True,NFL;Tottenham,intl_no_latam,judged,Story about Tottenham/ENIC ownership in the UK with no LATAM link.,structural,judged,Describes an ownership stake change (Levy's dilution in ENIC Sports Inc.) as clubs/leagues sale-or-ownership-change category.,False,judged,No exclusivity claim in the text.,False,judged,No explicit reference to a prior Playbook story.,False,judged,"Single club, single market (UK) ownership matter.",False,judged,"Explains dilution mechanics generically, not an original Playbook estimate.",False,judged,Reports the club's own notification to Levy as fact.,45,15,60,6,True,2,True
federer-deja-de-ser-milmillonario-tras-el-desplome-de-on,Federer deja de ser billionaire tras el desplome de On,2026-08-11,industry-shots,noticias,5,False,published,2026-08-12 19:17:35.164529+00,2026-08-12 19:39:39.795945+00,,True,True,7,lg,5,False,True,2,2026-08-11,0,0,0,True,False,True,On Holding,intl_no_latam,judged,"Story about a Swiss company's stock and a Swiss athlete's net worth, no LATAM link.",update_context,judged,"Updates Federer's net worth following a stock drop; no new structural or transactional event, just a recalculated figure.",False,judged,No exclusivity claim.,False,judged,No explicit reference to a prior Playbook story.,False,judged,Concerns one company's stock and one individual's wealth.,False,judged,"Cites Forbes' own calculation methodology, not Playbook's original analysis.",False,judged,Reports a confirmed stock price drop and Forbes' recalculated figure.,10,10,20,2,False,0,False
google-convierte-al-barca-en-laboratorio-de-gemini-y-pixel,Google convierte al Barça en laboratorio de Gemini y Pixel,2026-08-11,industry-shots,noticias,3,False,published,2026-08-13 16:51:58.771165+00,2026-08-13 16:51:58.771165+00,,True,True,7,sm,3,False,False,0,,,0,0,False,True,True,Barcelona;Bayern;NBA;Premier League,intl_no_latam,judged,"Story about Google sponsoring FC Barcelona in Spain, no LATAM angle mentioned.",commercial_no_figures,judged,Announces new sponsorship deals (AI and mobile partner) without disclosing any dollar figure.,False,judged,No exclusivity claim in the text.,False,judged,Notes it's Google's third such club deal in August but does not explicitly cite a prior Playbook story.,False,judged,"Single club (Barcelona), single market deal.",False,judged,"Describes the announced partnership features, not an original Playbook estimate.",False,judged,Reports an official club announcement as fact.,20,9,29,2,False,0,False
